Model inputs
Latitude = 25 deg
Longitude = 26 deg
Lake depth = 27 m
Lake fetch = 2000 m
Extinction coefficient = 1
Initial surface temperature = 8.815 C
Initial mixed layer thickness = 0 m
Initial mean temperature = 8.815 C
Initial bottom temperature = 8.815 C
Initial ice thickness = 0 m
Perpetual-year simulation = Yes

Results from FLAKE simulations.
Step (-),  Date (-),  Mixed-layer temperature (C),  Mean temperature of the water column (C),  Bottom temperature (C),Friction velocity in the surface air layer (m/s),  Friction velocity in the surface layer of lake water (m/s),  Convective velocity scale (m/s), Heat flux through the ice-water or air-water interface (W/m2),Sensible heat flux (W/m2),  Latent heat flux (W/m2),  Radiation flux through the ice-water or air-water interface (W/m2),Long-wave radiation flux from the atmosphere (W/m2), surface long-wave radiation flux (W/m2), Mixed-layer thickness (m),  Shape factor for thermocline (-),Thickness of the upper layer of the sediment (m),   Temperature at the bottom of the upper layer of the sediment (C),Heat flux through the water-bottom sediment interface (W /m2),  Ice thickness (m),  Snow thickness (m),Ice temperature (C), Snow temperature (C)
752,2016-04-06 00:00,17.4802,17.4802,17.4802,0.00000,0.637851E-04,0.871891E-02,-88.4899,0.607566E-01,-0.310547,44.6400,312.240,-400.480,27.0000,0.500000,3.00000,4.00000,4.90680,0.00000,0.00000,0.00000,0.00000
753,2016-04-06 06:00,17.4709,17.4709,17.4709,0.00000,0.684292E-04,0.00000,-45.2598,0.210483,-0.346281,764.227,355.305,-400.429,27.0000,0.500000,3.00000,4.00000,4.90342,0.00000,0.00000,0.00000,0.00000
754,2016-04-06 12:00,17.6083,17.6069,17.4709,0.00000,0.933320E-04,0.00000,-75.5627,0.121480,-0.348873,306.900,325.851,-401.187,26.4675,0.500000,3.00000,4.00000,4.90342,0.00000,0.00000,0.00000,0.00000
755,2016-04-06 18:00,17.6527,17.6501,17.4709,0.00000,0.987459E-04,0.105851E-01,-85.8486,0.899899E-01,-0.349729,0.00000,315.843,-401.432,26.2036,0.500000,3.00000,4.00000,4.90342,0.00000,0.00000,0.00000,0.00000
756,2016-04-07 00:00,17.6328,17.6328,17.6328,0.00000,0.116037E-03,0.704356E-02,-69.5771,0.139548,-0.349630,48.5925,331.955,-401.322,27.0000,0.500000,3.00000,4.00000,4.96233,0.00000,0.00000,0.00000,0.00000
757,2016-04-07 06:00,17.6278,17.6278,17.6278,0.00000,0.746656E-04,0.00000,-18.2255,0.285839,-0.351655,771.202,383.135,-401.295,27.0000,0.500000,3.00000,4.00000,4.96053,0.00000,0.00000,0.00000,0.00000
758,2016-04-07 12:00,17.7730,17.7703,17.6278,0.00000,0.491804E-04,0.00000,-50.7335,0.173425,-0.320529,290.625,351.510,-402.097,26.0104,0.500000,3.00000,4.00000,4.96053,0.00000,0.00000,0.00000,0.00000
759,2016-04-07 18:00,17.8192,17.8151,17.6278,0.00000,0.631387E-04,0.979475E-02,-68.1701,0.123206,-0.320826,0.00000,334.380,-402.352,25.8306,0.500000,3.00000,4.00000,4.96053,0.00000,0.00000,0.00000,0.00000
760,2016-04-08 00:00,17.8032,17.8011,17.6218,0.00000,0.810392E-04,0.551879E-02,-57.2760,0.176291,-0.354654,49.0575,345.166,-402.264,26.4316,0.551994,3.00000,4.00000,4.95834,0.00000,0.00000,0.00000,0.00000
761,2016-04-08 06:00,17.8009,17.7986,17.6239,0.00000,0.980560E-04,0.00000,-4.78243,0.298149,-0.323571,760.740,397.494,-402.251,26.4316,0.602046,3.00000,4.00000,4.95910,0.00000,0.00000,0.00000,0.00000
762,2016-04-08 12:00,17.9654,17.9417,17.6239,0.00000,0.765368E-04,0.00000,-55.0538,0.183238,-0.359401,304.110,348.284,-403.162,23.8795,0.602030,3.00000,4.00000,4.95910,0.00000,0.00000,0.00000,0.00000
763,2016-04-08 18:00,18.0177,17.9882,17.6239,0.00000,0.699523E-04,0.939313E-02,-64.7893,0.133628,-0.326657,0.00000,338.855,-403.451,23.6314,0.602030,3.00000,4.00000,4.95910,0.00000,0.00000,0.00000,0.00000
764,2016-04-09 00:00,18.0013,17.9749,17.6245,0.00000,0.504457E-04,0.430686E-02,-51.7749,0.170929,-0.326666,49.7550,351.741,-403.360,23.8866,0.608823,3.00000,4.00000,4.95933,0.00000,0.00000,0.00000,0.00000
765,2016-04-09 06:00,18.0000,17.9736,17.6248,0.00000,0.107464E-03,0.00000,-7.44898,0.291366,-0.329232,760.275,395.942,-403.353,23.8866,0.610467,3.00000,4.00000,4.95943,0.00000,0.00000,0.00000,0.00000
766,2016-04-09 12:00,18.1802,18.1160,17.6248,0.00000,0.355705E-04,0.00000,-45.1770,0.189775,-0.332505,295.275,359.319,-404.353,21.8854,0.610466,3.00000,4.00000,4.95943,0.00000,0.00000,0.00000,0.00000
767,2016-04-09 18:00,18.2349,18.1627,17.6248,0.00000,0.675673E-04,0.954603E-02,-72.7085,0.110671,-0.299151,0.00000,332.136,-404.656,21.7660,0.610466,3.00000,4.00000,4.95943,0.00000,0.00000,0.00000,0.00000
768,2016-04-10 00:00,18.2149,18.1479,17.6252,0.00000,0.643186E-04,0.526010E-02,-56.8617,0.156839,-0.299319,49.2900,347.826,-404.545,21.9987,0.613365,3.00000,4.00000,4.95956,0.00000,0.00000,0.00000,0.00000
769,2016-04-10 06:00,18.2123,18.1455,17.6254,0.00000,0.114266E-03,0.00000,-24.2590,0.246703,-0.301183,764.227,380.326,-404.531,21.9987,0.614324,3.00000,4.00000,4.95964,0.00000,0.00000,0.00000,0.00000
770,2016-04-10 12:00,18.3905,18.2855,17.6254,0.00000,0.890818E-04,0.00000,-69.8757,0.119702,-0.303051,291.555,335.829,-405.522,20.9673,0.614324,3.00000,4.00000,4.95964,0.00000,0.00000,0.00000,0.00000
771,2016-04-10 18:00,18.4427,18.3268,17.6254,0.00000,0.586201E-04,0.991402E-02,-84.1365,0.773958E-01,-0.269524,0.00000,321.868,-405.812,20.7671,0.614324,3.00000,4.00000,4.95964,0.00000,0.00000,0.00000,0.00000
772,2016-04-11 00:00,18.4185,18.3098,17.6257,0.268279,0.923618E-02,0.131968E-01,-239.097,66.3409,-224.015,46.9650,324.254,-405.677,20.9968,0.616395,3.00000,4.00000,4.95977,0.00000,0.00000,0.00000,0.00000
773,2016-04-11 06:00,18.3641,18.2723,17.6263,0.00000,0.111976E-03,0.00000,-55.5396,0.161017,-0.336328,768.180,350.010,-405.374,21.5858,0.620340,3.00000,4.00000,4.95999,0.00000,0.00000,0.00000,0.00000
774,2016-04-11 12:00,18.5324,18.4071,17.6263,0.00000,0.916918E-04,0.00000,-93.7769,0.683349E-01,-0.373554,309.225,312.840,-406.312,20.9781,0.620339,3.00000,4.00000,4.95999,0.00000,0.00000,0.00000,0.00000
775,2016-04-11 18:00,18.5832,18.4472,17.6263,0.141186,0.485911E-02,0.151242E-01,-295.207,1.11332,-182.165,0.00000,292.440,-406.595,20.8115,0.620339,3.00000,4.00000,4.95999,0.00000,0.00000,0.00000,0.00000
776,2016-04-12 00:00,18.4995,18.3900,17.6274,0.166352,0.572618E-02,0.147265E-01,-314.629,5.18578,-207.847,55.3350,294.161,-406.128,21.5727,0.624831,3.00000,4.00000,4.96036,0.00000,0.00000,0.00000,0.00000
777,2016-04-12 06:00,18.4282,18.3397,17.6291,0.00000,0.985685E-04,0.00000,-80.2043,0.109691,-0.371032,808.170,325.788,-405.731,22.2517,0.630270,3.00000,4.00000,4.96099,0.00000,0.00000,0.00000,0.00000
778,2016-04-12 12:00,18.5946,18.4774,17.6291,0.149675,0.515117E-02,0.00000,-278.815,17.1675,-191.023,325.035,301.698,-406.658,21.8002,0.630270,3.00000,4.00000,4.96099,0.00000,0.00000,0.00000,0.00000
779,2016-04-12 18:00,18.6180,18.4852,17.6291,0.972382E-01,0.334636E-02,0.142233E-01,-239.981,-8.32156,-115.387,0.00000,290.517,-406.789,21.2425,0.629597,3.00000,4.00000,4.96099,0.00000,0.00000,0.00000,0.00000
780,2016-04-13 00:00,18.5510,18.4386,17.6310,0.158096,0.544144E-02,0.142537E-01,-287.778,2.01810,-181.997,56.4975,298.615,-406.415,21.7964,0.633949,3.00000,4.00000,4.96167,0.00000,0.00000,0.00000,0.00000
781,2016-04-13 06:00,18.4878,18.3936,17.6334,0.00000,0.110301E-03,0.00000,-80.2436,0.109867,-0.372859,809.332,326.083,-406.063,22.3420,0.639229,3.00000,4.00000,4.96255,0.00000,0.00000,0.00000,0.00000
782,2016-04-13 12:00,18.6566,18.5315,17.6334,0.156736,0.539349E-02,0.00000,-293.222,13.9708,-199.938,325.267,299.749,-407.004,21.8350,0.639228,3.00000,4.00000,4.96255,0.00000,0.00000,0.00000,0.00000
783,2016-04-13 18:00,18.6642,18.5367,17.6334,0.603872E-01,0.207798E-02,0.132121E-01,-187.109,-6.17221,-62.9598,0.00000,289.069,-407.046,21.7686,0.638505,3.00000,4.00000,4.96255,0.00000,0.00000,0.00000,0.00000
784,2016-04-14 00:00,18.6130,18.5001,17.6358,0.809800E-01,0.278687E-02,0.119674E-01,-188.970,2.12033,-84.3790,56.9625,300.050,-406.761,22.1476,0.642748,3.00000,4.00000,4.96342,0.00000,0.00000,0.00000,0.00000
785,2016-04-14 06:00,18.5771,18.4740,17.6380,0.00000,0.821365E-04,0.00000,-79.7575,0.111605,-0.375386,802.822,327.067,-406.561,22.4152,0.646753,3.00000,4.00000,4.96423,0.00000,0.00000,0.00000,0.00000
786,2016-04-14 12:00,18.7421,18.6108,17.6380,0.139215,0.478978E-02,0.00000,-270.147,16.0907,-181.061,322.710,302.304,-407.481,22.0358,0.646753,3.00000,4.00000,4.96423,0.00000,0.00000,0.00000,0.00000
787,2016-04-14 18:00,18.7755,18.6198,17.6380,0.914439E-01,0.314597E-02,0.141485E-01,-233.275,-7.49765,-109.529,0.00000,291.420,-407.668,21.2811,0.646171,3.00000,4.00000,4.96423,0.00000,0.00000,0.00000,0.00000
788,2016-04-15 00:00,18.7103,18.5745,17.6409,0.933739E-01,0.321279E-02,0.122870E-01,-202.894,2.92606,-99.3874,57.8925,300.872,-407.304,21.7241,0.650215,3.00000,4.00000,4.96528,0.00000,0.00000,0.00000,0.00000
789,2016-04-15 06:00,18.6703,18.5459,17.6433,0.00000,0.734686E-04,0.00000,-72.2759,0.134235,-0.378233,806.775,335.048,-407.080,21.9992,0.653769,3.00000,4.00000,4.96616,0.00000,0.00000,0.00000,0.00000
790,2016-04-15 12:00,18.8401,18.6849,17.6433,0.00000,0.824714E-04,0.00000,-96.5218,0.609572E-01,-0.382227,321.780,311.828,-408.029,21.6427,0.653769,3.00000,4.00000,4.96616,0.00000,0.00000,0.00000,0.00000
791,2016-04-15 18:00,18.8938,18.7268,17.6433,0.127446,0.438356E-02,0.146058E-01,-252.172,6.68330,-153.978,0.00000,303.451,-408.329,21.4858,0.653769,3.00000,4.00000,4.96616,0.00000,0.00000,0.00000,0.00000
792,2016-04-16 00:00,18.8239,18.6778,17.6470,0.00000,0.876391E-04,0.793772E-02,-92.9150,0.523422E-01,-0.347446,58.3575,315.318,-407.938,21.9071,0.658101,3.00000,4.00000,4.96751,0.00000,0.00000,0.00000,0.00000
793,2016-04-16 06:00,18.8142,18.6703,17.6481,0.00000,0.810755E-04,0.00000,-59.1933,0.172831,-0.382830,807.240,348.901,-407.884,21.9477,0.659588,3.00000,4.00000,4.96790,0.00000,0.00000,0.00000,0.00000
794,2016-04-16 12:00,18.9924,18.8119,17.6481,0.00000,0.863250E-04,0.00000,-88.2867,0.870374E-01,-0.386969,323.872,320.894,-408.881,21.5021,0.659588,3.00000,4.00000,4.96790,0.00000,0.00000,0.00000,0.00000
795,2016-04-16 18:00,19.0502,18.8558,17.6481,0.121055,0.416243E-02,0.146313E-01,-252.769,14.5816,-162.111,0.00000,303.965,-409.204,21.3239,0.659588,3.00000,4.00000,4.96790,0.00000,0.00000,0.00000,0.00000
796,2016-04-17 00:00,18.9796,18.8067,17.6521,0.00000,0.806982E-04,0.800365E-02,-95.5166,0.646566E-01,-0.386307,60.2175,313.614,-408.809,21.7002,0.663508,3.00000,4.00000,4.96935,0.00000,0.00000,0.00000,0.00000
797,2016-04-17 06:00,18.9696,18.7990,17.6532,0.00000,0.930920E-04,0.00000,-64.0692,0.187037,-0.421064,816.540,344.918,-408.753,21.7380,0.664846,3.00000,4.00000,4.96977,0.00000,0.00000,0.00000,0.00000
798,2016-04-17 12:00,19.1537,18.9414,17.6532,0.00000,0.866768E-04,0.00000,-93.9482,0.976128E-01,-0.425662,327.825,316.164,-409.785,21.2534,0.664845,3.00000,4.00000,4.96977,0.00000,0.00000,0.00000,0.00000
799,2016-04-17 18:00,19.2121,18.9850,17.6532,0.146841,0.504746E-02,0.151057E-01,-278.324,21.3133,-196.493,0.00000,306.967,-410.112,21.0847,0.664845,3.00000,4.00000,4.96977,0.00000,0.00000,0.00000,0.00000
800,2016-04-18 00:00,19.1334,18.9310,17.6576,0.00000,0.884718E-04,0.790854E-02,-94.6822,0.678336E-01,-0.390793,60.9150,315.312,-409.671,21.4613,0.668559,3.00000,4.00000,4.97138,0.00000,0.00000,0.00000,0.00000
801,2016-04-18 06:00,19.1237,18.9237,17.6588,0.00000,0.113398E-03,0.00000,-64.0497,0.187522,-0.425602,812.820,345.805,-409.616,21.4937,0.669716,3.00000,4.00000,4.97179,0.00000,0.00000,0.00000,0.00000
802,2016-04-18 12:00,19.3155,19.0653,17.6588,0.00000,0.994261E-04,0.00000,-96.9799,0.889104E-01,-0.430445,327.127,314.054,-410.692,20.9134,0.669715,3.00000,4.00000,4.97179,0.00000,0.00000,0.00000,0.00000
803,2016-04-18 18:00,19.3752,19.1082,17.6588,0.109727,0.377052E-02,0.146735E-01,-256.738,5.97933,-151.259,0.00000,299.569,-411.028,20.7294,0.669715,3.00000,4.00000,4.97179,0.00000,0.00000,0.00000,0.00000
804,2016-04-19 00:00,19.3013,19.0584,17.6629,0.966983E-01,0.332329E-02,0.123340E-01,-207.485,11.5314,-119.588,62.5425,311.184,-410.613,21.0487,0.672766,3.00000,4.00000,4.97331,0.00000,0.00000,0.00000,0.00000
805,2016-04-19 06:00,19.2599,19.0298,17.6659,0.00000,0.109236E-03,0.00000,-73.5298,0.160178,-0.429511,822.120,337.120,-410.380,21.2287,0.675155,3.00000,4.00000,4.97439,0.00000,0.00000,0.00000,0.00000
806,2016-04-19 12:00,19.4520,19.1715,17.6659,0.180095,0.618760E-02,0.00000,-295.183,37.6786,-235.785,331.777,314.383,-411.460,20.7196,0.675155,3.00000,4.00000,4.97439,0.00000,0.00000,0.00000,0.00000
807,2016-04-19 18:00,19.4673,19.1775,17.6659,0.131175,0.450670E-02,0.153197E-01,-292.820,3.30845,-182.001,0.00000,297.419,-411.546,20.5605,0.674625,3.00000,4.00000,4.97439,0.00000,0.00000,0.00000,0.00000
808,2016-04-20 00:00,19.3825,19.1208,17.6706,0.00000,0.656038E-04,0.840661E-02,-104.611,0.380832E-01,-0.398144,62.7750,306.818,-411.069,20.9092,0.677740,3.00000,4.00000,4.97611,0.00000,0.00000,0.00000,0.00000
809,2016-04-20 06:00,19.3702,19.1118,17.6719,0.00000,0.928087E-04,0.00000,-69.1683,0.173353,-0.432882,823.747,342.091,-411.000,20.9488,0.678787,3.00000,4.00000,4.97657,0.00000,0.00000,0.00000,0.00000
810,2016-04-20 12:00,19.5636,19.2546,17.6719,0.00000,0.864737E-04,0.00000,-100.073,0.803693E-01,-0.437846,332.707,312.372,-412.088,20.5037,0.678787,3.00000,4.00000,4.97657,0.00000,0.00000,0.00000,0.00000
811,2016-04-20 18:00,19.6245,19.2980,17.6719,0.109931,0.377567E-02,0.145990E-01,-253.466,9.60700,-154.057,0.00000,303.415,-412.431,20.3492,0.678786,3.00000,4.00000,4.97657,0.00000,0.00000,0.00000,0.00000
812,2016-04-21 00:00,19.5501,19.2488,17.6762,0.00000,0.610101E-04,0.730763E-02,-89.0384,0.668523E-01,-0.369631,63.7050,323.276,-412.012,20.6276,0.681367,3.00000,4.00000,4.97814,0.00000,0.00000,0.00000,0.00000
813,2016-04-21 06:00,19.5425,19.2430,17.6771,0.00000,0.691050E-04,0.00000,-51.3050,0.197078,-0.405007,815.610,360.872,-411.969,20.6447,0.682072,3.00000,4.00000,4.97848,0.00000,0.00000,0.00000,0.00000
814,2016-04-21 12:00,19.7391,19.3876,17.6771,0.00000,0.840578E-04,0.00000,-83.0608,0.105724,-0.409725,325.035,330.320,-413.077,20.2519,0.682072,3.00000,4.00000,4.97848,0.00000,0.00000,0.00000,0.00000
815,2016-04-21 18:00,19.8047,19.4328,17.6771,0.00000,0.531892E-04,0.109030E-01,-105.781,0.364270E-01,-0.410966,0.00000,308.041,-413.447,20.0799,0.682072,3.00000,4.00000,4.97848,0.00000,0.00000,0.00000,0.00000
816,2016-04-22 00:00,19.7731,19.4117,17.6794,0.00000,0.426578E-04,0.713582E-02,-87.5867,0.922343E-01,-0.410557,64.4025,326.000,-413.269,20.1797,0.683367,3.00000,4.00000,4.97929,0.00000,0.00000,0.00000,0.00000
817,2016-04-22 06:00,19.7659,19.4063,17.6802,0.00000,0.735025E-04,0.00000,-57.4225,0.208329,-0.445122,818.400,356.043,-413.228,20.1937,0.683939,3.00000,4.00000,4.97959,0.00000,0.00000,0.00000,0.00000
818,2016-04-22 12:00,19.9666,19.5503,17.6802,0.00000,0.795474E-04,0.00000,-91.7480,0.107876,-0.450381,329.452,322.956,-414.362,19.8125,0.683939,3.00000,4.00000,4.97959,0.00000,0.00000,0.00000,0.00000
819,2016-04-22 18:00,20.0315,19.5946,17.6802,0.00000,0.662303E-04,0.108426E-01,-104.723,0.409279E-01,-0.418169,0.00000,310.383,-414.729,19.6654,0.683939,3.00000,4.00000,4.97959,0.00000,0.00000,0.00000,0.00000
820,2016-04-23 00:00,19.9995,19.5737,17.6824,0.00000,0.620333E-04,0.710073E-02,-87.2181,0.739029E-01,-0.383873,64.4025,327.640,-414.548,19.7576,0.685051,3.00000,4.00000,4.98038,0.00000,0.00000,0.00000,0.00000
821,2016-04-23 06:00,19.9923,19.5684,17.6832,0.00000,0.732890E-04,0.00000,-54.6336,0.188917,-0.418906,811.657,360.104,-414.507,19.7707,0.685541,3.00000,4.00000,4.98068,0.00000,0.00000,0.00000,0.00000
822,2016-04-23 12:00,20.1976,19.7117,17.6832,0.00000,0.694998E-04,0.00000,-79.6874,0.966398E-01,-0.390742,325.965,336.276,-415.670,19.3891,0.685541,3.00000,4.00000,4.98068,0.00000,0.00000,0.00000,0.00000
823,2016-04-23 18:00,20.2660,19.7576,17.6832,0.00000,0.521008E-04,0.106075E-01,-98.7406,0.404407E-01,-0.392194,0.00000,317.669,-416.058,19.2480,0.685541,3.00000,4.00000,4.98068,0.00000,0.00000,0.00000,0.00000
824,2016-04-24 00:00,20.2352,19.7379,17.6852,0.00000,0.807716E-04,0.680332E-02,-83.7293,0.105893,-0.425594,64.4025,332.473,-415.883,19.3291,0.686472,3.00000,4.00000,4.98141,0.00000,0.00000,0.00000,0.00000
825,2016-04-24 06:00,20.2289,19.7333,17.6859,0.00000,0.873960E-04,0.00000,-35.8384,0.241277,-0.427426,807.240,380.195,-415.847,19.3384,0.686864,3.00000,4.00000,4.98167,0.00000,0.00000,0.00000,0.00000
826,2016-04-24 12:00,20.4603,19.8792,17.6859,0.00000,0.956991E-04,0.00000,-67.8805,0.131142,-0.400040,324.105,349.549,-417.161,18.7668,0.686863,3.00000,4.00000,4.98167,0.00000,0.00000,0.00000,0.00000
827,2016-04-24 18:00,20.5404,19.9271,17.6859,0.00000,0.767481E-04,0.104488E-01,-96.2837,0.488499E-01,-0.367464,0.00000,321.651,-417.616,18.5538,0.686863,3.00000,4.00000,4.98167,0.00000,0.00000,0.00000,0.00000
828,2016-04-25 00:00,20.5093,19.9078,17.6878,0.00000,0.812176E-04,0.734898E-02,-91.7449,0.622559E-01,-0.366517,65.3325,325.999,-417.439,18.6293,0.687616,3.00000,4.00000,4.98236,0.00000,0.00000,0.00000,0.00000
829,2016-04-25 06:00,20.5004,19.9018,17.6886,0.00000,0.496853E-04,0.00000,-60.1369,0.174785,-0.434794,809.565,357.512,-417.389,18.6453,0.687995,3.00000,4.00000,4.98266,0.00000,0.00000,0.00000,0.00000
830,2016-04-25 12:00,20.7030,20.0436,17.6886,0.00000,0.740116E-04,0.00000,-85.0963,0.103518,-0.440367,322.710,333.782,-418.542,18.4159,0.687995,3.00000,4.00000,4.98266,0.00000,0.00000,0.00000,0.00000
831,2016-04-25 18:00,20.7730,20.0879,17.6886,0.00000,0.849393E-04,0.105037E-01,-97.8808,0.655822E-01,-0.442248,0.00000,321.437,-418.941,18.2833,0.687995,3.00000,4.00000,4.98266,0.00000,0.00000,0.00000,0.00000
832,2016-04-26 00:00,20.7409,20.0684,17.6905,0.00000,0.103577E-03,0.615672E-02,-77.4710,0.126055,-0.441970,64.8675,341.603,-418.758,18.3561,0.688690,3.00000,4.00000,4.98335,0.00000,0.00000,0.00000,0.00000
833,2016-04-26 06:00,20.7364,20.0650,17.6911,0.00000,0.117806E-03,0.00000,-25.9638,0.244913,-0.410992,800.497,392.934,-418.732,18.3594,0.688933,3.00000,4.00000,4.98355,0.00000,0.00000,0.00000,0.00000
834,2016-04-26 12:00,21.0194,20.2116,17.6911,0.00000,0.104854E-03,0.00000,-79.1208,0.989590E-01,-0.317355,309.922,341.445,-420.347,17.4876,0.688933,3.00000,4.00000,4.98355,0.00000,0.00000,0.00000,0.00000
835,2016-04-26 18:00,21.0972,20.2546,17.6911,0.189011,0.647279E-02,0.151352E-01,-303.539,16.3076,-215.333,0.00000,316.278,-420.792,17.3053,0.688933,3.00000,4.00000,4.98355,0.00000,0.00000,0.00000,0.00000
836,2016-04-27 00:00,20.9925,20.1958,17.6955,0.223827,0.766666E-02,0.151675E-01,-361.855,-8.34350,-237.184,66.2625,303.866,-420.193,17.5463,0.690097,3.00000,4.00000,4.98516,0.00000,0.00000,0.00000,0.00000
837,2016-04-27 06:00,20.8915,20.1386,17.7000,0.00000,0.106050E-03,0.00000,-85.1381,0.103589,-0.445778,817.470,334.821,-419.617,17.7861,0.691333,3.00000,4.00000,4.98678,0.00000,0.00000,0.00000,0.00000
838,2016-04-27 12:00,21.1153,20.2771,17.7000,0.163361,0.559417E-02,0.856907E-02,-347.740,12.7836,-248.642,331.080,309.015,-420.896,17.4150,0.691333,3.00000,4.00000,4.98678,0.00000,0.00000,0.00000,0.00000
839,2016-04-27 18:00,21.1077,20.2730,17.7009,0.995435E-01,0.340884E-02,0.150952E-01,-298.685,-12.2105,-157.181,0.00000,291.558,-420.852,17.4366,0.691712,3.00000,4.00000,4.98712,0.00000,0.00000,0.00000,0.00000
840,2016-04-28 00:00,21.0054,20.2152,17.7054,0.169895,0.581920E-02,0.150769E-01,-356.281,-4.88757,-236.133,68.5875,305.007,-420.267,17.6687,0.692893,3.00000,4.00000,4.98875,0.00000,0.00000,0.00000,0.00000
841,2016-04-28 06:00,20.9078,20.1594,17.7098,0.00000,0.983550E-04,0.00000,-83.1307,0.109534,-0.446366,820.957,336.916,-419.710,17.8974,0.694137,3.00000,4.00000,4.99037,0.00000,0.00000,0.00000,0.00000
842,2016-04-28 12:00,21.1306,20.2990,17.7098,0.148902,0.509889E-02,0.864045E-02,-351.613,14.4655,-247.239,334.102,302.143,-420.983,17.5439,0.694137,3.00000,4.00000,4.99037,0.00000,0.00000,0.00000,0.00000
843,2016-04-28 18:00,21.1227,20.2947,17.7108,0.104018,0.356196E-02,0.155443E-01,-323.461,-10.7433,-176.957,0.00000,285.177,-420.938,17.5659,0.694530,3.00000,4.00000,4.99072,0.00000,0.00000,0.00000,0.00000
844,2016-04-29 00:00,21.0128,20.2321,17.7156,0.109940,0.376559E-02,0.137265E-01,-282.987,3.95481,-171.334,69.7500,304.702,-420.310,17.8124,0.695807,3.00000,4.00000,4.99249,0.00000,0.00000,0.00000,0.00000
845,2016-04-29 06:00,20.9408,20.1906,17.7192,0.00000,0.952481E-04,0.00000,-72.6979,0.139902,-0.447867,813.052,347.508,-419.898,17.9773,0.696863,3.00000,4.00000,4.99380,0.00000,0.00000,0.00000,0.00000
846,2016-04-29 12:00,21.1667,20.3306,17.7192,0.00000,0.787685E-04,0.00000,-98.8170,0.639414E-01,-0.454344,328.057,322.763,-421.190,17.6039,0.696863,3.00000,4.00000,4.99380,0.00000,0.00000,0.00000,0.00000
847,2016-04-29 18:00,21.2373,20.3734,17.7192,0.937371E-01,0.320918E-02,0.144368E-01,-258.595,4.11263,-147.383,0.00000,306.269,-421.594,17.4856,0.696863,3.00000,4.00000,4.99380,0.00000,0.00000,0.00000,0.00000
848,2016-04-30 00:00,21.1488,20.3232,17.7233,0.00000,0.638500E-04,0.776806E-02,-101.297,0.564002E-01,-0.453741,69.0525,320.188,-421.088,17.6752,0.697932,3.00000,4.00000,4.99529,0.00000,0.00000,0.00000,0.00000
849,2016-04-30 06:00,21.1375,20.3161,17.7242,0.00000,0.614654E-04,0.00000,-57.2176,0.184232,-0.455172,809.797,364.076,-421.023,17.6943,0.698256,3.00000,4.00000,4.99562,0.00000,0.00000,0.00000,0.00000
850,2016-04-30 12:00,21.3593,20.4585,17.7242,0.00000,0.532731E-04,0.00000,-88.7013,0.950712E-01,-0.461323,325.500,333.958,-422.293,17.4174,0.698255,3.00000,4.00000,4.99562,0.00000,0.00000,0.00000,0.00000
851,2016-04-30 18:00,21.4291,20.5026,17.7242,0.00000,0.574546E-04,0.105847E-01,-101.698,0.565930E-01,-0.463225,0.00000,321.403,-422.694,17.3303,0.698255,3.00000,4.00000,4.99562,0.00000,0.00000,0.00000,0.00000
852,2016-05-01 00:00,21.3939,20.4823,17.7262,0.00000,0.715790E-04,0.598945E-02,-79.9185,0.120833,-0.462832,69.5175,342.915,-422.492,17.3970,0.698800,3.00000,4.00000,4.99633,0.00000,0.00000,0.00000,0.00000
853,2016-05-01 06:00,21.3899,20.4794,17.7266,0.00000,0.612770E-04,0.00000,-33.9895,0.224484,-0.431703,810.495,388.686,-422.469,17.3989,0.698978,3.00000,4.00000,4.99650,0.00000,0.00000,0.00000,0.00000
854,2016-05-01 12:00,21.6357,20.6263,17.7266,0.00000,0.822290E-04,0.00000,-67.3265,0.135699,-0.438271,327.127,356.857,-423.881,17.0255,0.698977,3.00000,4.00000,4.99650,0.00000,0.00000,0.00000,0.00000
855,2016-05-01 18:00,21.7244,20.6748,17.7266,0.00000,0.935178E-04,0.101732E-01,-91.2734,0.682257E-01,-0.440103,0.00000,333.490,-424.391,16.8586,0.698977,3.00000,4.00000,4.99650,0.00000,0.00000,0.00000,0.00000
856,2016-05-02 00:00,21.6919,20.6565,17.7284,0.00000,0.105582E-03,0.521615E-02,-74.4027,0.116188,-0.439779,70.4475,350.125,-424.204,16.9155,0.699426,3.00000,4.00000,4.99714,0.00000,0.00000,0.00000,0.00000
857,2016-05-02 06:00,21.6897,20.6548,17.7287,0.00000,0.858947E-04,0.00000,-29.1533,0.260756,-0.475008,813.750,395.253,-424.192,16.9155,0.699546,3.00000,4.00000,4.99726,0.00000,0.00000,0.00000,0.00000
858,2016-05-02 12:00,21.9734,20.8033,17.7287,0.00000,0.731923E-04,0.00000,-68.0011,0.156670,-0.483122,329.452,358.152,-425.827,16.3603,0.699546,3.00000,4.00000,4.99726,0.00000,0.00000,0.00000,0.00000
859,2016-05-02 18:00,22.0628,20.8521,17.7287,0.00000,0.934920E-04,0.986011E-02,-84.7677,0.109288,-0.485456,0.00000,341.951,-426.343,16.2184,0.699546,3.00000,4.00000,4.99726,0.00000,0.00000,0.00000,0.00000
860,2016-05-03 00:00,22.0314,20.8350,17.7304,0.00000,0.962594E-04,0.612732E-02,-82.9165,0.932385E-01,-0.450711,71.3775,343.603,-426.162,16.2696,0.699913,3.00000,4.00000,4.99785,0.00000,0.00000,0.00000,0.00000
